Main Ring Size,Subnetwork Size,Number of Subnetworks,Correct Result,Rounds,Messages
5,10,5,true,2,792
15,10,5,true,4,3983
25,10,5,true,6,9215
35,10,5,true,8,16768
45,10,5,true,10,26097
50,10,5,true,11,31607
20,3,3,true,22,120293
20,7,3,true,24,140966
20,9,3,true,25,151628
20,11,3,true,26,162678
20,19,3,true,30,213947
30,8,1,true,31,228253
30,8,2,true,32,242515
30,8,3,true,33,256965
30,8,4,true,34,271667
30,8,5,true,35,286685
30,8,6,true,36,302083
30,8,7,true,37,317925
30,8,8,true,38,334275
30,8,9,true,39,351197
30,8,10,true,40,368755
5,15,7,true,41,386642
10,15,7,true,42,407020
15,15,7,true,43,428998
20,15,7,true,44,452576
25,15,7,true,45,477754
30,15,7,true,46,504532
35,15,7,true,47,532910
40,15,7,true,48,562888
45,15,7,true,49,594466
50,15,7,true,50,627644
55,15,7,true,51,662422
60,15,7,true,52,698800
65,15,7,true,53,736778
70,15,7,true,54,776356
75,15,7,true,55,817534
80,15,7,true,56,860312
85,15,7,true,57,904690
90,15,7,true,58,950668
95,15,7,true,59,998246
100,15,7,true,60,1047424
